image_id,supplier_name,supplier_details,receiver_name,receiver_details,tax_rate,TVA_amount,invoice_number,invoice_date,total_HT,total,Product_Designation
img20191018_10042298_0001.jpg,SOCIETE E -DI.CO.CO =.,"Rue essour Ndeg155 Sfax 3000Tunisie,Code PT 67 Z/B/M/000,Tel 2432906,Fax 7423 75 80,RC,60877062017","client "" GEANT TUNIS CITY","Adresse: OUED ELLIL,783298M/P/M/000,MF..",+ 707 893  19 20%!,99201420,Facture Ndeg 1BFV5237,j FV18/00038  18/10/2018  1809007646721 ,50802000,6021405420,"boot enfant nice 8917 29/38 marine,boot enfant nice 8917 29/38 bordeaux,macassin cuir femme 8901 36/40 monaco beige,mocassin cuir femme 8901 36/40 monaco bleu,mocassin cuir femme 8901 36/40 monaco caramel,mocassin cuir femme 8903 36/40 vegas noir,mocassin cuir femme 8903 36/40 vegas marron,mocassin cuir femme 8903 36/40 vegas caramel,mocassin cuir femme 8905 36/40 sonia noir,mocassin cuir femme 8905 36/40 sonia bleu,mocassin cuir femme 8905 36/40 soma rouge,basket femme 36/40 8908 love blanc/jaune,basket femme 36/40 8908 love blanc/rose,mocassin cuir femme 8902 36/40 pretty noir"
img20191018_10060289_0001.jpg,TUNISIAN GLOBAL TRADE,"S TUNISIAN GLOBAL TRADE,DISTRIBUTION DE PRODUITS DIVERS,RUE EL MASSOUDI SOUKRA,Jeehore 716028,admin@t-tgt com,MF,DCOM/A 11280301",GEANT EH,"CENTRE COMMERCIAL TUNIS CITY, 2032 ARIANA,70836000,783298M/P/M/000,41105",13%,9442,Facture Ndeg 1BFV5237,93/09/18,"4696,49698",59738,A KRIT SANDWICH QUESO 125G
img20191018_10070471_0001.jpg,Societe Miel des prairies (l'abeille},"Adresse 13 rue bechir etmethenri menzah8,2037 ariana,Tei/fax +216 71 707 9852,GSM +216 23 288 199,Mail malsondumie2006l@gmail com,Matricule fiscale ODG CNB7s a",Client : HYPER GEANT TUNIS CITY,"CENTRE COMMERCIAL TUNIS CITY, 2032 ARIANA,70836000,783298M/P/M/000,41105",13%,9442,facture Ndeg37/18,Tunis le 19/12/2018,"4696,49698",2329023,"619155830007  Pot 37cl miel,d'eucalyptus,6191558300064  Pot 21 cl miel d'eucalyptus, 519155230008  Pot 37 ci miel de fleurs d'oranger, Pot 21c} miel de fleurs d'oranger,6191558300118 Pot 37 cl miel de multifleurs,6191558300125 Pot 21 cl miel de multifleurs, 6191558200187 Pot 37cl miel de montagne, 6191558200170  Pot 21cl miel de montagne"
img20191018_10093370_0001.jpg,Societe Miel des prairies (l'abeille},"Societe SARL Capital 2 O00 000 Dirars RCB11522000 TVA 7107E0K. A/M/OCO,CD 7528104 CCB UBCI Charguis ! 11104 000 1403 002 78P 83,Siege Sociel . Zone Nord-Est des Berges du Lac de Tun PS lotissemant,de ta zone IX ZI de Kherreddine 2015 El Kram,Succursale : 32 rue des metiers charquia Il 2035 Turis,Tel 70 838 264/ ox 70 838 268,Email : contact@pro2itn - Web wwa pro2i tn",STE MEDDIS,"CENTRE COMMERCIAL TUNIS CITY,0783298MPMOO0,Matricule Fiscal",19%,1573830,FV1804217,14/12/18,8723316,9857746,"5/2MP 3G LEAGOO BLACK,SMARTPHONE 28 5 0"" 1/16G, 5/2MP 3G LEAGOO BLUE,SMARTPHONE 79 5 0deg 1/16G,5/2MP 3G LEAGOO GOLD,SMARTPHONE S8 5 72' 3/32G 4G,BLUE,SMARTPHONE 68 5 72deg 3/32G 4G,BLACK,SMARTPHONE T8S 5 5"" 4/32G,13/5/2MP 4G LEAGOO GOLD,BAGUETTE SELFIE,BLUETOOTH SPEAKER"
img20191018_10103287_0001.jpg,CONDOR ELECTRONICS INTERNATIONAL,"Zone Industrielle MGHIRA I - Avenue MGHRA - Lot 63-64. Fouchana 2082 - Ben Arous - Tunisie,71 4097 21 / Fax (+216),71 40 97 61 *JRNETD,80 10 90 90,Te (+218),RC.Ndeg B02158322016 - MF 1470435X/A/M/000,www condor-tunise.n / e-mail contact@condor-tunisie tn {commerciak@condar-tunisie In",STE LA MEDITERRANEENNE DE DISTRIB," CENTRE COMMERCIAL TUNIS CITY,ARIANA,Tunisie,NIF _783298M/P/M/000",19,131100,BL/FACTURE Ndeg : CON185104,17112/18,690000,nan,LFEATURE PHONE CONDOR F6 NOIR
img20191018_10111074_0001.jpg,SOCIETE NOUR DISTRIBUTIUN,"S.A RL au capital de 200 000 DT - Siege social Route de Sousse km 6 - 2033 Megrne,Tel 71 43 32 33 - Fax 71 43 34 24 - email bat nour@nour com tn,RC Ben Arous B 167872000 Code en douane Ndeg491328 Z,RIB - STB 10 106 0452315 045 788 18,Code T.V.A.Ndeg 491325 Z/A/M/000,AGENCE MECRINE,71 433 232 Fak:,1.0 433.0 424.0,TEL,Suite au BC 1811003015309","p \H a GUois,CENTRE COMMERCIAL GEANT","ARTANA,Cade TVA Chrent,783285 W/E/M/000",19.004,173400,BL/FACTURE Ndeg : CON185104,NO F1808354 DU 05/11/18,91206200,"nan,1086630","BATT LI SMART [S.E],BATT L2 SHART [S.E],BATTERIE FINIE PLIB"
img20191018_10140394_0001.jpg,"CONDOR ELECTRONICS INTERNATIONAL,Smgercalsation et SAV d'apparells electromenagers. electroniques","Zone Industrielle MGHIRA 1 Avenue MGHIRA - Lot 63-64. Fouchana 2082 - Ben Arous - Tunisie,Tel: (+216) 71 40 97 21/Fax (+216) 71 40 97 61 NEED,80 10 90 90,RCNdeg B02158522016 - MF 1470435 X/A/M/000,www condor-tunisie tn /e-mait contact@condor-tunisie tn / commercrak@condor-tunisie tn",STE LA MEDITERRANEENNE DE DISTRIB,"CENTRE COMMERCIAL TUNIS CITY,ARIANA,Tunisie,NF _783298M/P/M/000",19,162201440,Pro Ndeg : CON184992,07/12/18,280000,10016003440,"__ MICRO ONDE 23 Lt BLANC _,CMW-M2306W"
img20191018_10143675_0001.jpg,"CONDOR ELECTRONICS INTERNATIONAL,Smgercalsation et SAV d'apparells electromenagers. electroniques","SBociete Pates MAERDA,S A au Capital do 200 O0,D),PA Nouna 4003 Sousse,Sreye Sa,Tel. 732H 1 Lan 73211515,Registre de Commerce B 1413691996,Code TVA .452403 D/4/%1/000,Site web : www warda.tn,E-mail : contacte warda.tn,BANQUE BNA RIB: 03500020011500574332,.",STE MEDDIS GEANT,"ARIANA,L'ARIANA,cL1384,0783298MPM0OO0,MF",19,162201440,FAC-18-1983,29/08/2018,280000,10016003440,"PL N3 DE 500G,NOUILLE 2 DE 500G,PL N2 DE 500G,FELL 2 DE 500G,PLN2 DE 1KG,FELL + DE 5006,FELL 3 DE 500G,COUDE 1 DE 500G,COUDE 2 DE 500G,COUDE 3 DE 500G,PLUME 2 DE 500G,PLUME COURTE DE 500G,FLAMINGO DE 500G,MALITA 1 DE 500G,RESSORT DE 500G,COQUILLETTE CE 500G,FELL 2 DE 1 KG,MALITA O DE 500G,MINI FUSILLI DFC 500G WARD,MINI PENNE DFC 500G WARDA,MINI ESCARGOT DFC 5006 WA"
img20191018_10153085_0001.jpg,LE CHAMP,"SBociete Pates MAERDA,S A au Capital do 200 O0,D),PA Nouna 4003 Sousse,Sreye Sa,Tel. 732H 1 Lan 73211515,Registre de Commerce B 1413691996,Code TVA .452403 D/4/%1/000,Site web : www warda.tn,E-mail : contacte warda.tn,BANQUE BNA RIB: 03500020011500574332,.",! MEDDIS,EUR COMMERCIAL TUNIS CITY,19,162201440,Facture Ndeg: 180603,31/10/2018,280000,349700,"CORIANDRE,NAVET FANE,CAROTTES FANE, meme,ROQUETTE Cultuvee EMB,CLEMENTINEA,_ BASILIC GRAND VERT"
img20191018_10155669_0001.jpg,SEFRIM,"23. Rue Khereddine Pacha V4,8170 BOUSALEM,Ndeg RC B1414212007,Ndeg MF 993478H/A/M/000,Telephone 78615932,Telecopie 78615933",MEDDIS GEANT,"CENTRE COMMERCIAL TUNIS CITY,2032 ARIANA,783298M/P/M/000,NdegMF",19,57505,173439.0,201218.0,1516495,1574000,"OIGNON ROUGE, POMMEGODLEN A, POMME GODLEN AA, POMME GOLDEN B, POMME ROUGE A, POMME ROUGE AA,ORANGE A JUS,ORANGE THOMSON NAVEL A, CLEMENTINE AA, CLEMENTINE A, MANDARINE AA,ORANGE MESKI SANS PEPIN,TIMBRE"
img20191018_10201564_0001.jpg,SEFRIM,"000 GALAXIE 2000 E2  TUNETREAYETTE 1002,Ndeg Tor 71.,Ndeg Fax,71-0862,VA,E-mail,im,eknarme@gnet,801108782016 Pd,RComm,Code TVA  1458644D/A/M/",CLIENT MEDDIS GEANT / TUNIS CITY,"ADRESSE ARIANA,CC 41000280",19,57505,"0688 / 2018,2018,!TACTURF Ndeg_",Turusle 28/09/2018,3546950,7010427,"En Microfibre,Fssue Vies,Essute Voitures Microfibre 1 Pcs,Essue Tout,(a Laveites Eponge,EuAPM, ISerpilhere Classic MM,Rechange Scrpilliere,Le Gants Sensive 8,10Pcs Gants Uruque 5/M 6-7,10Pcs Gants Uruque M/L 7-8,\sponge Vegetale C,Raclette & Manche,Ghta3Pes,Tip Top 3 Pes,\Tip Top 5 Pcs,1P Gants Super Gnp 9,Balai Interieur & Manche,Balai Terrasse & Manche,Manche Uruverselle 13 M,Microfibre St le,Gants Comfort Plus Large,Recureur Universelle 2 Pes,en 7 l,Ghta Crystal 2 Pes,Balai Terrasse 2in 1 & Manche,Balai Double Acton & Manche,Brosse Toilette,Seau Ovale & Hssoreuse,(Ractete Easy Fixe & Mai,JR. (c),RER. CLASSIC,Raclette Easy Fixe & }"
img20191018_10210137_0001.jpg,Centrale Laitiere de Mahdia,"Fax (216) 73 677 257 - 5100 - Sipai 123"" gois,DKhils B P 123 Mahdia 5100 Tumsie Tel (216)73677273,Capital Soctal 11 884 S00DT-RC B16441 -Code TVA 601 515S/P/M/000","iyr MEDIIS DISTRIBUTION,CHEN","CENTRE COHMERCIAL TUNIS CITY,14,tx,ARLARA,TUNISIE,Code TVA:,DS,de,0781298MPK00,____ . Mode de paiement : tx 9 y DATE LITRAT",19,200,P4703071,15/12/18,6972480,697380,"LAIT 1/2 ECREME GET ILT,LAIT BATIER VAT (LT VIT,LAIT BCRENS UHT ILT VIT"
img20191018_10220089_0001.jpg,Centrale Laitiere de Mahdia," SOCIETE rkeCane,SARL au capital 4 100080 DT-Zonemoastrietiertassaa 2OTPBEN AROUS RC B12596200 CodeTVA 7s@f5/P/M/000,Tel : Directe 71 382 930 Adm 71 382 333 Poste : 496 / 497 - Fax: 71 387 744 / 71 384 775""",MEDDIS,"Geant Tunis,CENTRE COMMERCIAL TUNIS CITY ROUTE DE BIZER 'E,ARIANA,Code TVA. 783298MPM000",TVA 19%,118742,P4703071,15/12/18,6972480,744302,"PREPARATION GATEAUX RANDA 1 Kg,Borc hel Fin,hel aros,Borc"
img20191018_10230382_0001.jpg,"""iediterranean Trading Company Ltd","Adresse Rite Essour Ndeg155,3001- Sfax - Tunites,23 75 80,Tel: +216 74 236002 Fax +249 74,"",MF 4183530/A/M000,RC Code en Douane : 8081806,RC",GEANT TUNIS CITY,"DEPOT OUED ELLIL Cite Emadh Essaida 2031,mannouba,Tel,Esx,Fax,Assuiettt 783298M/P/M/000","%,1900",40102800,FV18/00060,09/11/2018,20400000,251308800,"SABOT DAME VALERIA Noir,SABOT DAME VALERIA Marron,SABOT DAME VALERIA LAZER Noir,SABOT DAME VALERIA Bleu,SABOT DAME VALERIA LAZER Bleu"
img20191018_10260992_0001.jpg,"rss Jai Den,LEADER FOOD PRGEESS","DB Lau apital de 300 000 D-RC D 14102 2000v-MF 741 285 B'A/M000,li DE mile Lada Sammen. 3083 SFAX-TUNISIE - Email contact@elkhabia com,AS,Route de Gabes km 6 Z 1 Sid Salem Commune Ti yna","a,GEANT-MEDDIS","Adresse :,: CITY,CITY,ARIANA TUNIS,-- M.F.,: 783298/M/P/M/000,Code,: 1400",7%,1768,acture Ndeg 20181015,24/09/2018,"28,926028",978396,"6191522904564 MAIS 500 GR,6191522901075  LENTILLE VERTE 500 GR,4 EPICES 250 GR,6191522905479 CUMIN 250 cR, &181522005486  CURCUMUN 250 GR, 6191522006424  PIMENT Doux 250 er,6191522904502 THYM 50 GR,619152292105  THYM MOULU 70 GR EASY OPEN,6191522920359 4 EPICES +00 GR EASY OPEN, 6191522920380  CARVI 100 GR EASY OPEN,819152292041  CUMIN 100 GR EASY OPEN,8191522920465  CURCUMIN 100 GR EASY OPEN,619152920663 EPICES GRILLADE 60 GR EASY OPEN,6191522920366 RAS HANOUT 100 GR EASY OPEN,619152020469  CURRY INDIEN 100 GR EASY OPEN,619152916826  SALADE MECHOUIA DOUCE 200 GR"
img20191018_10282141_0001.jpg,SOTUFAB,"TVA 022590F/A/M/000 -CCB STE Ksar Hellal - 10 803 019 097482 0 788 14-CD 9212831,RC B 197531996",MEDDIS DEPOT QUED ELLIL PLEIN AIR,"EL AOUINA CENTRE,2080 EL AOUINA,Mat.Fiscal .783298M/F/M/000",TVAGOL 4439392 10.00% 843 484,8874380600,:8FHO9214  1310712018  BCNdeg1806006713857,24/09/2018,"nan,4395438",nan,"CHE070-10 192603660735 """"""SALON""*LE PACHA NOIR(4 FAU LE PACHA+ 4,JOUSSINS+ TABLE BYRSA)"
img20191018_10324496_0001.jpg,SOTUFAB,"7 Rue Kailaa Kesba Saint-Gobain entre pot ndeg2 - 2014 Megrine,Tel... 20 531 222 / 29 669 480 -Fax. 71 231 106 - RC : B0337292005 - MF 927122 K/A/M/000,E-mai baby-boutique@planet tn,RIB Ndeg 08 009 000681001414-6 27.chez BIAT.Agence El Menzah 6 - Arrana",MEDDIS,"ZENTRE COMMERCIAL TUNIS CITY,ARIANA,2032,FUNISIE,gode de TVA,783298M/P/M/000",TVA 19 00,71891,FA 180363,27/11/2018,nan,1189410,"SAC CADEAU,OREILLER 35*49 CM,LOT DE 2 DRAPS HOUSSE"
img20191018_10332090_0001.jpg,med,"Telephone +216 96 591 561,Teiecopie +216 71 872 542,Courir ef commerciai@utralaproduct com,B24 3442010,Site www nutrahaproduct com,1131988QAMC00,RC,TVA Ndeg",MEDDIS SA,"HYPER GEANT TUNISCITY,Centre commercial TUNIS CITY,2032 Ariana,783288MPMOO0,TVA",19 00%,173553,FA180242,A Creme),nan,1087589,"VAH_VCID_250 Vinagre de cidre 100 % naturel VAHNIA 260 mL, Vinaigre de dattes 100 % naturel VAHNIA 280 mL, Vinagre de cidre VAHNIA au gmgembre 100 % naturel,Verre 250 mL,Vinaigre de cidre 100 % naturel VAHNIA 500 mL verre, Vinaigre de figues de barbarie Vahnia 260 mL. 100 %,naturel, Vinaigre Blanc Naturel au citron 1L, Vinaigre Special Leblebi 500 mL, Vinaigre de grenade 100 %-naturel VAHNIA 250 mL,Vinaigre Blanc Arematise aux pommes il"
img20191018_10341089_0001.jpg,Asso SERVICES,"24. RUE DE LA PHYSIQUE Ben Arous - 2013 - Ben Arous - TN,Tel.. 71 386 333 (8 LG),Fax 71384 372-Tix:,SARL au capital de 552 000 Dinars-RC 1811083 1997,Code TVA 287010 P/A/M/002,CCB ATB SIEGE : 01 001 020 1103 0227 37 04","LA MEDITERRANENNE DE DISTRIBUT, MEDDIS","ELAOUINA CENTER,EL AOUINA ,Matricule Fiscal 0783298MPMO00",TVA 19%,1765404,BLFT1801101,25/12/18,8291600,11057604,"oz RENA4OOK218X Coma Beko 400 L no frost Inox,Four ventile 6F Noir,Plaque Beko 4F Ai Inox"
img20191018_10354174_0001.jpg,Asso SERVICES,"pol,Mol,aDTICATION ne Dr,LE,Fe a2ie 14 185 077,LE,R,es km 335,u,ax,E,EE,rage,7 E-mai contact@ agrc-rima com",MEDDIS,"CENTRE COMMERCIAL TUNISCITY,2030.0,TUNIS,TUNISIE,783298M/P/M/000",19 00%,9401440,BL-Facture Ndeg 20181373,Date. 25/10/2018,76305300,74," BSISSA POICHICHE SAC 5KGiynes dus, BSISSA BLE SAC 5KG gas aus, SORGHO AU FRUITS SEC M SAC 5KG all sup, BORGOL GROS SAC BKG de.>>, CANELLE MOULU SAC 5KGa n 48 9,de, CORETE MOULU SAC 5KGus, SAUGE SACHET 1KG,52e 4353 die,4 EPICES MOULU SAC 5KGaa, MELANGE POISSON SAC 5KG =i9s dus,CURRY INDIEN MOULU SAC 5KGg2a 58"
img20191018_10382390_0001.jpg,"Kbcrbe,beauty","Ste Khomsa Plus Route de Bizerte Rss Du joue mmunia Arrana"" ""=,Tei & Fax 70 564 756,Site Web www khomsaplus com tn,Email imfo@khomsapius com tn,SARL au capital de 10 000 Dinars RC B 1302003,MF 819214KAM000 Code en Douane 809248N",MEDDIS GEANT,"BOURGO MALL MIDOUN DJERBA,MF. 0783298M/P/M/000,Tel 70836000",19%,681030,CTURE Ndeg 180142,Date. 25/10/2018,28447200,4265970,"6192416000843 !107FD9DFD6/08/1 lEDT TRELA DARK F 100 ML,'6192416000997 LO7F11DF24/09/1 EDT LA FRANCAISE F 100 ML,6192416000966 107F12DF24/09/1 EDT MAGNIFIQUE F 100 ML,nan,6192416000973 _07F12DF06/08/1 EDT BLOOMY F 100 ML"
img20191018_10391664_0001.jpg,TAFRIVISION,"Zt Ben Arous - 2013 - Ben Arous - 216,Tel',Fax -Tix 13119 MAGREB,Ste de fabrication de televiseurs au capital de 12 000.000 DT-R,Code TVA 0030079R/A/M/000,CCB BS AV de Paris . 04 D000 1040470 1893 413","LA MEDITERRANENNE DE DISTRIBUT,MEDDIS"," ELAOUINA CENTER,EL AOUINA ,Matricule Fiscal _07832988MPM000",TVA 19%,"0000,4759120",BLFT1801124,241218.0,24800000,29807720,"RE Pesieneten Ge  unitaire Remise TVA Va va,CH A GAZ FALCON AVEC SEC"
img20191018_10395888_0001.jpg,ELIOS MAGHREB,"N Commerce de Gros,+49 rue de l'Or,Zone indusinelle Sid Daoued,2046 La Marsa,TUNISIE,Tel 71 465 152,Fax 71465 169,MF 1270630K/A/M.000,RC B2413282007",MEDDIS DJERBA,"GEANT BOURGO MALL DJERBA,000. CENTRE COMER BOURGO.,MALL MIDOUN,4116 DJERBA,MF _783298/M/A/E/001",19%,122859,FA1810173,22/10/18,643471,"nan,9000","410376035391 BIZCOCHOS GULLON DMA 400*6,410376035407 BIZCOCHOS 200G*12,410376042610 TWINS 154G*16,410376036862 MEGA DUO VAINILLA 500G6*20,900396023391 GREEN TEA WITH LEMON.HONEY.GINGER 20*2G,PYRAMID,900396023315 GREEN TEA WITH MINT 20*1.7G PYRAMID,900396023322 BLACK TEA WITH CINAMON 20*2G PYRAMID,900396024022 TEA RED FRUIT 20*2G,900396024039 TEA FOREST FRUIT 20*2G,900396024046 ENGLISH TEA 20*1 75G,900396024077 GREEN TEA LEMON 20*1 5G,900396014276 GREEN SENSE LEMON&LIME WITH GINGER 1.7g*20"
img20191018_10402334_0001.jpg,"HYGIENE,CONCEPT","SARL CAPITAL 100 000D 23 RUE DES ENTREPRENEURS 2035 CHARGUIA II - RC B124472001 M F 759900 R/A/M/000,TEL 71942510 -71942526-FAX 71941 021-E MAIL hygiene concept@wanadoo tn",LA MEDITERRANENNE DE DISTRIBU,"AS MAG EL AOUINA CENTRE,QSSNPIN 000",19%,122859,FC18/01588,1211/2018,643471,"nan,9000","FENSIL ES NOIN SU LAV,PERSIL 1L5 COULEUR 3OLAV,PERSIL 1L5 LAIN &SOIE 30LAV,SUN SEL REGENERANT 1KG,SUN TTEN1 26 DOZ STD NEW,SUN TTEN1 26 DOZ CIT NEW,PLIZ AERO CALSSIC 300ML,PLIZ AERO SPRINGTIME FLORAL! : 300MBBC, PLIZ AERO LIME CITRON VERT 3C9ML 5 54,KIWI DAIM AGROSOL INCOLORE,KIWI EPONGE EXPRESS NOIR,KIMI QUICK SHINE BLANC 75 ML,KIWE GUICK SHINE NOIR 75 ML,KIWI EXPRESS,MR MUSCLE WC VISi ACTION 75 ML 4 89e,MR MUSCLE WC LIQ 750ML LAVA JDE,MR MUSCLE WC LIQ 750ML MINT,GLADE REF AIR&TEX WATER 275 nl 6 88PS,GLADE GEL FRESH LAVENDER"
